,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Urucara,BR,-2.5364,-57.76,74.97,91,47,2.33,scattered clouds
315,Gat,IL,31.61,34.7642,42.4,100,58,4.99,broken clouds
316,Alice Springs,AU,-23.7,133.8833,90.95,43,92,10.36,overcast clouds
317,Port Keats,AU,-14.25,129.55,88.93,62,77,3.09,light rain
318,Ballina,AU,-28.8667,153.5667,72.79,96,100,13.8,moderate rain
319,Massakory,TD,12.996,15.7293,56.26,28,0,14.67,clear sky
320,Kavaratti,IN,10.5669,72.642,81.52,61,94,9.15,overcast clouds
321,Wanning,CN,18.8003,110.3967,70.38,75,89,9.51,overcast clouds
322,Mingaora,PK,34.7758,72.3625,48.4,62,36,2.44,scattered clouds
323,Takaka,NZ,-40.85,172.8,69.57,62,15,10.07,few clouds
324,Boundiali,CI,9.5217,-6.4869,65.1,15,0,3.36,clear sky
325,Kautokeino,NO,69.0125,23.0412,19.36,77,62,15.26,broken clouds
326,Vetlanda,SE,57.4289,15.0776,26.62,51,77,16.58,broken clouds
327,Digha,IN,21.6833,87.55,68.0,28,5,0.74,clear sky
328,Batsfjord,NO,70.6345,29.7185,21.42,85,7,16.35,clear sky
329,Lompoc,US,34.6391,-120.4579,59.41,87,0,3.44,clear sky
330,Hasaki,JP,35.7333,140.8333,48.6,53,71,9.37,broken clouds
331,Kampot,KH,10.6167,104.1833,77.05,51,56,4.0,broken clouds
332,Fernley,US,39.608,-119.2518,45.16,57,1,1.01,clear sky
333,The Pas,CA,53.8251,-101.2541,-18.38,76,0,3.44,clear sky
334,Kota Belud,MY,6.351,116.4305,80.46,72,51,4.61,broken clouds
335,Salinas,US,36.6777,-121.6555,55.36,82,0,3.44,clear sky
336,Ploemeur,FR,47.7333,-3.4333,43.63,97,40,4.61,scattered clouds
337,Atambua,ID,-9.1061,124.8925,75.25,88,100,1.41,moderate rain
338,Svetlaya,RU,46.5389,138.3297,18.12,55,3,6.04,clear sky
339,Bandarbeyla,SO,9.4942,50.8122,76.03,73,100,14.45,overcast clouds
340,Tahta,EG,26.7693,31.5021,46.72,61,2,6.62,clear sky
341,Nizhniy Odes,RU,63.6445,54.856,9.45,90,100,13.29,overcast clouds
342,Kaiyuan,CN,23.6977,103.3037,56.12,75,94,7.4,overcast clouds
343,Marathon,US,44.9,-89.7668,2.73,69,0,6.91,clear sky
344,Namibe,AO,-15.1961,12.1522,67.17,85,89,0.4,overcast clouds
345,Manbij,SY,36.5281,37.9549,27.37,42,35,18.37,scattered clouds
